id,price,brand,model,year,title_status,mileage,color,state,country
357,25,chevrolet,door,2007,salvage insurance,194903,gray,virginia,usa
358,10630,ford,door,2015,clean vehicle,82899,white,georgia,usa
359,43009,ford,door,2017,clean vehicle,76418,white,michigan,usa
360,25,gmc,door,2003,salvage insurance,138441,white,michigan,usa
361,4600,ford,pickup,2006,salvage insurance,240740,brown,mississippi,usa
362,4950,honda,mpv,2016,clean vehicle,71404,black,virginia,usa
363,3760,hyundai,doors,2019,clean vehicle,30382,silver,florida,usa
364,3900,acura,door,2009,clean vehicle,179389,black,texas,usa
365,3830,ford,door,2015,clean vehicle,82534,silver,georgia,usa
366,53500,ford,door,2017,clean vehicle,55732,white,michigan,usa
367,25,ford,door,2010,salvage insurance,198596,gray,michigan,usa
368,25,ford,door,1998,salvage insurance,300021,brown,arkansas,usa
369,6240,honda,door,2015,clean vehicle,83623,silver,virginia,usa
370,4150,jeep,door,2014,clean vehicle,108895,white,new york,usa
371,25,jeep,door,1999,salvage insurance,226972,black,florida,usa
372,61200,bmw,series,2020,clean vehicle,7509,black,california,usa
373,13500,bmw,series,2014,clean vehicle,33542,blue,new jersey,usa
374,6490,ford,door,2015,clean vehicle,74754,black,georgia,usa
375,51502,ford,door,2017,clean vehicle,27661,black,michigan,usa
376,250,ford,door,2010,salvage insurance,115241,white,michigan,usa
377,25,ford,door,1984,salvage insurance,41577,white,arkansas,usa
378,8160,honda,van,2015,clean vehicle,109027,gray,virginia,usa
379,7770,jeep,door,2014,clean vehicle,72732,gray,new york,usa
380,200,jeep,door,2001,salvage insurance,126400,green,maryland,usa
381,25,audi,door,2008,salvage insurance,177422,black,texas,usa
382,1825,bmw,coupe,2008,salvage insurance,77984,white,georgia,usa
383,39800,bmw,series,2017,clean vehicle,23177,blue,california,usa
384,9210,ford,door,2015,clean vehicle,26911,silver,georgia,usa
385,58500,ford,srw,2019,clean vehicle,21527,blue,washington,usa
386,125,ford,door,2014,salvage insurance,56461,silver,michigan,usa
387,3960,honda,door,2015,clean vehicle,95128,white,virginia,usa
388,5998,hyundai,doors,2014,clean vehicle,122975,phantom black,new york,usa
389,3700,honda,doors,2014,clean vehicle,162824,blue,new york,usa
390,5000,gmc,door,2012,clean vehicle,140339,black,utah,usa
391,15050,infiniti,mpv,2019,clean vehicle,26786,white,texas,usa
392,3960,hyundai,doors,2019,clean vehicle,35623,red,ohio,usa
393,36300,lincoln,nautilus,2019,clean vehicle,14541,black,california,usa
394,55600,lexus,gx,2020,clean vehicle,8186,silver,florida,usa
395,2630,nissan,doors,2018,clean vehicle,36739,gray,california,usa
396,5690,nissan,mpv,2017,clean vehicle,42616,blue,new jersey,usa
397,19500,audi,q5,2017,clean vehicle,65833,blue,texas,usa
398,450,chevrolet,coupe,2008,salvage insurance,123515,yellow,minnesota,usa
399,20400,cadillac,door,2015,clean vehicle,36122,white,wisconsin,usa
400,4320,chevrolet,door,2011,clean vehicle,88359,brown,florida,usa
401,33001,ford,f-150,2017,clean vehicle,35905,gray,michigan,usa
402,10000,ford,door,2017,salvage insurance,35747,red,arkansas,usa
403,5790,gmc,door,2012,clean vehicle,105020,white,utah,usa
404,14750,infiniti,mpv,2019,clean vehicle,11047,black,texas,usa
405,4010,hyundai,doors,2019,clean vehicle,31233,silver,ohio,usa
