id,price,brand,year,title_status,mileage,color,state,region,country
1534,5500,ford,2015,clean vehicle,116539,silver,oklahoma,South,usa
1535,38700,ford,2018,clean vehicle,59549,white,oklahoma,South,usa
1536,21000,ford,2019,clean vehicle,12174,red,pennsylvania,Northeast,usa
1537,28500,ford,2016,clean vehicle,96129,white,oklahoma,South,usa
1538,37200,ford,2018,clean vehicle,89809,white,oklahoma,South,usa
1539,18500,ford,2019,clean vehicle,18202,white,pennsylvania,Northeast,usa
1540,15000,ford,2015,clean vehicle,128505,white,oklahoma,South,usa
1541,37700,ford,2017,clean vehicle,43527,white,oklahoma,South,usa
1542,22200,ford,2019,clean vehicle,15792,white,pennsylvania,Northeast,usa
1543,39950,ford,2019,clean vehicle,9278,white,georgia,South,usa
1544,37600,ford,2017,clean vehicle,41925,white,oklahoma,South,usa
1545,18500,ford,2019,clean vehicle,16924,white,pennsylvania,Northeast,usa
1546,10000,ford,2013,clean vehicle,119869,silver,florida,South,usa
1547,20500,ford,2019,clean vehicle,17260,silver,pennsylvania,Northeast,usa
1548,5700,ford,2013,clean vehicle,89490,white,florida,South,usa
1549,21000,ford,2019,clean vehicle,40772,white,pennsylvania,Northeast,usa
1550,22500,ford,2019,clean vehicle,25623,white,pennsylvania,Northeast,usa
1551,29000,ford,2019,clean vehicle,11669,white,colorado,West,usa
1552,13200,ford,2013,clean vehicle,138524,black,florida,South,usa
1553,25500,ford,2019,clean vehicle,13644,white,pennsylvania,Northeast,usa
1554,25700,ford,2016,clean vehicle,147935,white,texas,South,usa
1555,18900,ford,2015,clean vehicle,44456,charcoal,new york,Northeast,usa
1556,31500,ford,2019,clean vehicle,20357,black,pennsylvania,Northeast,usa
1557,45500,ford,2017,clean vehicle,66366,black,florida,South,usa
1558,11000,ford,2017,clean vehicle,43532,gray,pennsylvania,Northeast,usa
1559,18288,ford,2015,clean vehicle,45218,gray,new york,Northeast,usa
1560,20000,ford,2017,clean vehicle,85688,white,florida,South,usa
1561,36600,ford,2016,clean vehicle,58902,white,pennsylvania,Northeast,usa
1562,18299,ford,2015,clean vehicle,59869,silver,pennsylvania,Northeast,usa
1563,10000,ford,2017,clean vehicle,35021,silver,colorado,West,usa
1564,4100,ford,2012,clean vehicle,100264,silver,pennsylvania,Northeast,usa
1565,30995,ford,2015,clean vehicle,157057,off-white,texas,South,usa
1566,1750,ford,2012,salvage insurance,181316,black,minnesota,Midwest,usa
